Date,Region,Product,Category,Sales_Rep,Sales_Amount,Quantity,Unit_Price,Discount,Customer_Type
2024-01-15,North,Laptop,Electronics,Alice,45000,15,3000,0.05,Enterprise
2024-01-20,South,Smartphone,Electronics,Bob,28000,40,700,0.10,SMB
2024-02-05,East,Tablet,Electronics,Alice,18000,30,600,0.00,Individual
2024-02-18,West,Monitor,Electronics,Charlie,12000,20,600,0.15,Enterprise
2024-03-10,North,Keyboard,Accessories,Alice,3000,100,30,0.00,SMB
2024-03-22,South,Mouse,Accessories,Bob,1500,150,10,0.00,Individual
2024-04-05,East,Laptop,Electronics,Alice,60000,20,3000,0.10,Enterprise
2024-04-18,West,Smartphone,Electronics,Charlie,35000,50,700,0.05,SMB
2024-05-10,North,Tablet,Electronics,Bob,24000,40,600,0.00,Individual
2024-05-25,South,Monitor,Electronics,Alice,18000,30,600,0.20,Enterprise
2024-06-08,East,Keyboard,Accessories,Charlie,4500,150,30,0.00,SMB
2024-06-20,West,Mouse,Accessories,Alice,2000,200,10,0.00,Individual
2024-07-12,North,Laptop,Electronics,Bob,75000,25,3000,0.00,Enterprise
2024-07-25,South,Smartphone,Electronics,Alice,42000,60,700,0.10,SMB
2024-08-08,East,Tablet,Electronics,Charlie,21000,35,600,0.05,Individual
2024-08-22,West,Monitor,Electronics,Bob,15000,25,600,0.10,Enterprise
2024-09-10,North,Keyboard,Accessories,Alice,3600,120,30,0.00,SMB
2024-09-25,South,Mouse,Accessories,Charlie,1800,180,10,0.00,Individual
2024-10-05,East,Laptop,Electronics,Bob,54000,18,3000,0.05,Enterprise
2024-10-20,West,Smartphone,Electronics,Alice,32000,45,700,0.15,SMB
2024-11-12,North,Tablet,Electronics,Charlie,27000,45,600,0.00,Individual
2024-11-25,South,Monitor,Electronics,Bob,21000,35,600,0.05,Enterprise
2024-12-08,East,Keyboard,Accessories,Alice,5400,180,30,0.00,SMB
2024-12-20,West,Mouse,Accessories,Charlie,2400,240,10,0.00,Individual
2025-01-10,North,Laptop,Electronics,Alice,81000,27,3000,0.10,Enterprise
2025-01-25,South,Smartphone,Electronics,Bob,49000,70,700,0.05,SMB
2025-02-08,East,Tablet,Electronics,Charlie,30000,50,600,0.00,Individual
2025-02-20,West,Monitor,Electronics,Alice,24000,40,600,0.20,Enterprise
2025-03-10,North,Keyboard,Accessories,Bob,6000,200,30,0.00,SMB
2025-03-25,South,Mouse,Accessories,Alice,3000,300,10,0.00,Individual
